Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Train F1,Val F1,Train AUC,Val AUC,Epoch Time
1,3.873062963485718,3.670556580185131,0.111525,0.1776,0.09837589622316789,0.15094757577689671,0.8006579202665578,0.859506496261212,25.442999124526978
2,3.155666585922241,2.926442317901903,0.226325,0.2619,0.2118497410689581,0.24290423420910962,0.8911519210853879,0.9145692251650184,25.007341146469116
3,2.7079090595245363,2.6716331706684864,0.310275,0.3173,0.29953680911744685,0.3085918891218482,0.9270252822826408,0.9324402725707499,24.287615537643433
4,2.4287043800354002,2.562491713056139,0.367875,0.3535,0.3599120850999165,0.3371289366325231,0.9443066340608869,0.9378875207945673,24.498862743377686
5,2.1666410331726076,2.3571486146586715,0.424575,0.3968,0.4176039733891751,0.39006354592962894,0.9572482653176277,0.9479943373153762,25.00173592567444
6,1.8722026350021361,2.4536837005311516,0.491025,0.3968,0.48614154288578376,0.39054579016790947,0.9693680340150813,0.9464769515854854,24.99906635284424
7,1.6070151044845582,2.5073547287351765,0.552175,0.3995,0.548613198793519,0.393363841590027,0.9784264265217274,0.9441466861192598,24.573284149169922
8,1.3594636425971984,2.3903515164259894,0.611925,0.4195,0.6096195177739724,0.41642564654106845,0.9849708719319519,0.9518537301038791,24.815412282943726
9,1.032800724887848,2.722654338095598,0.696775,0.4126,0.6954948587088963,0.40865154755315675,0.9915818989768739,0.9436448848104289,24.942496299743652
10,0.8069568731307983,2.7655678691378065,0.75835,0.4117,0.7575533808804222,0.4117122028225731,0.9949813393988272,0.9457846831828622,24.889122247695923
11,0.6043323212623596,3.035312439985336,0.81735,0.4106,0.8171006869053842,0.4059791620997016,0.9971338959924697,0.9446229806841937,25.09230947494507
12,0.6227360347509384,3.208087377487474,0.814475,0.4163,0.8142268374668387,0.41613687279905864,0.9968895429771343,0.9434881162955489,24.723902940750122
13,0.38351138014793396,3.527855118368841,0.88385,0.4062,0.8838317937741532,0.4062390815562973,0.9987440835218662,0.9393720170214148,25.09271502494812
14,0.26886485278606415,3.839115042595347,0.9179,0.4004,0.9179825766430378,0.39811608994684833,0.9993354841676795,0.93785906721128,25.1261785030365
15,0.3196937404751778,3.6982200570926547,0.90135,0.4105,0.9014151092373611,0.40969207833390064,0.9991253831030218,0.9397093050299788,24.578621864318848
16,0.23071481170654295,3.9568478514434426,0.9285,0.4122,0.9285367130603247,0.41051065383434343,0.999512369709146,0.9377499655700503,24.660387992858887
17,0.23285515532493592,3.9790957459978236,0.92755,0.4118,0.9275366761408733,0.41166663023014116,0.9995363467490291,0.9400255550794921,25.09573745727539
18,0.2038864203810692,4.256302048446266,0.93805,0.3998,0.9380696478001788,0.3980513457616262,0.9996390302312795,0.935739558608795,25.85848379135132
19,0.21815265175700188,4.22166132319505,0.932175,0.4085,0.9322102993849563,0.4060785313673416,0.9995982324189496,0.9378075331762894,25.188891887664795
20,0.17095967198610307,4.386524359891369,0.94665,0.3997,0.9466776647598409,0.3993664118060683,0.9997486237370268,0.9363796513731079,25.89455485343933
