Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Train F1,Val F1,Train AUC,Val AUC,Epoch Time
1,28.61497516519883,5.302376454603587,0.011397058823529411,0.010222222222222223,0.01127572999915622,0.0028823786741046732,0.5040662459773585,0.5286963121043818,123.92557120323181
2,6.082998912661683,4.696955778920058,0.012867647058823529,0.011222222222222222,0.011876889086257112,0.002115213397873405,0.509447125819384,0.5713910299538232,124.50743556022644
3,4.87868153702979,4.638335660839757,0.02022058823529412,0.019444444444444445,0.015246593129861812,0.00391370587914902,0.5662756986125497,0.6356430196057089,124.22353005409241
4,4.575530031615613,4.848439635959923,0.030931372549019606,0.02711111111111111,0.023233039641228068,0.010389735901439255,0.6318357698053486,0.6531870450795536,124.91516423225403
5,4.4487510774649826,4.356041121990122,0.038848039215686275,0.04933333333333333,0.03085929437406866,0.02726694675471187,0.6644707748028238,0.712056767520641,124.71110677719116
6,4.272550421509088,4.107014427793787,0.05588235294117647,0.07866666666666666,0.04439997600713435,0.047287309267788104,0.7173050578942491,0.7687250617689665,123.90489768981934
7,4.1074696391236545,4.504478824899552,0.07833333333333334,0.05377777777777778,0.0633368856187557,0.03451604839169923,0.7557537289311373,0.7469593227901729,124.25972604751587
8,3.972381596097759,3.927096371109604,0.09774509803921569,0.09477777777777778,0.08146793051432225,0.0631332665738545,0.7847555325570664,0.8128452779844428,123.93042063713074
9,3.85433601510291,3.7938835164333913,0.11276960784313725,0.11511111111111111,0.09748240764721287,0.09566103249809926,0.8063826120077227,0.8337957964219689,123.9925286769867
10,3.741382101096359,3.654952231028401,0.13129901960784313,0.13933333333333334,0.11624773380146133,0.11098077245362549,0.8250145001898628,0.855260738059587,123.60340428352356
11,3.641816895241831,3.430037720829037,0.14504901960784314,0.17922222222222223,0.1303932662794933,0.14136114776112668,0.8401131631582675,0.8740881871904541,124.00390648841858
12,3.521128130520091,3.3157731201631804,0.16350490196078432,0.19155555555555556,0.14984405616411903,0.16443171262435452,0.8554132311435311,0.8870381157091388,124.23150444030762
13,3.418414290746053,3.5719374967805035,0.182671568627451,0.16033333333333333,0.16928396142295526,0.1331186369793447,0.8675151420778525,0.8717410875133838,124.05394339561462
14,3.3264769806581387,3.1906828440672963,0.1969607843137255,0.21777777777777776,0.18372776457692694,0.1958865601940613,0.87680292800125,0.8991771590816947,124.27740144729614
15,3.247811404770496,3.412073409303706,0.21235294117647058,0.2078888888888889,0.19937509305349796,0.17764899304694395,0.8843839208008426,0.885753212508068,124.20508313179016
16,3.1752200048110066,3.242670064276837,0.22526960784313727,0.21711111111111112,0.21236075058463846,0.18987318114865806,0.891623707024668,0.9007353408479511,123.7334623336792
17,3.111591992471732,3.1412030661359744,0.23825980392156862,0.22633333333333333,0.22594342494264802,0.20001721456329055,0.8968775595452191,0.9029465297908211,123.83469462394714
18,3.0447428278829536,4.061299308817437,0.24720588235294116,0.16433333333333333,0.23552864318079678,0.15526187134071837,0.9027351142368346,0.8615991220965381,123.84709620475769
19,2.983182974516177,2.975856473259892,0.26112745098039214,0.2647777777777778,0.24958672037314722,0.24883712285180232,0.9074313401858889,0.9163767964933363,123.9265604019165
20,2.9379364159527945,2.8613561138193657,0.27137254901960783,0.29055555555555557,0.26020260734805123,0.27338077827087226,0.9109847100392947,0.9200435435808507,123.53349256515503
21,2.882754162059111,2.670375517496826,0.28274509803921566,0.32866666666666666,0.2718570877321355,0.3122252908269772,0.9146461437458347,0.9323735987823157,124.33237338066101
22,2.8312005728366327,2.6366516837837004,0.28855392156862747,0.3318888888888889,0.277916453815509,0.31865539141194366,0.9193128118573872,0.9341698235485625,124.09354400634766
23,2.778547824036841,2.7265954685549363,0.3035294117647059,0.3091111111111111,0.2926644767610028,0.2966331474495808,0.9223731042187042,0.9302600366325768,124.0881073474884
24,2.7405205881829353,2.8402460855795137,0.31056372549019606,0.2971111111111111,0.30035924280440435,0.28746029392559386,0.9248756498685831,0.9226990402259608,124.45340418815613
25,2.699281346470702,2.641542394955953,0.3187990196078431,0.3396666666666667,0.30882353764258585,0.3164350979419567,0.927749069213203,0.9348098598680046,124.20120787620544
26,2.6642118684918272,2.625176684653505,0.3289705882352941,0.3313333333333333,0.3194952321917164,0.32027090411095965,0.9295864753486986,0.9351804170109463,123.947509765625
27,2.615501378564274,2.4844968978394855,0.3369362745098039,0.36977777777777776,0.3280185594410573,0.3515065498292387,0.9329881128026511,0.9425908451886689,123.78279042243958
