Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Train F1,Val F1,Train AUC,Val AUC,Epoch Time
1,11.697328885650634,6.159317487364362,0.037275,0.0815,0.03520358791477945,0.05548787375054668,0.6005076663842628,0.7635514323947794,31.06836748123169
2,4.96865869140625,4.526592268305979,0.087625,0.1305,0.07612589736977926,0.10353424187935113,0.7553898838208214,0.8271826955529873,31.240700244903564
3,4.116592013549805,3.561472572338809,0.132225,0.1796,0.12018487711619787,0.1532343389810178,0.8154740914474173,0.8688847634970622,31.14199686050415
4,3.798029384994507,4.250869637082337,0.16555,0.2009,0.15240617476787627,0.18251349220582605,0.8420479087720429,0.8763990425645883,31.250001907348633
5,3.5780254219055174,3.1890426972869097,0.190475,0.2292,0.17791015394162726,0.21197521493335889,0.8613310125890586,0.8970377463843957,30.92470407485962
6,3.4300406879425047,3.552885974288746,0.211475,0.2538,0.1998842528080416,0.23716083835506432,0.8726117125763302,0.9001856959699274,30.860827445983887
7,3.266494864654541,3.0066632161474534,0.234425,0.2676,0.22388223575248134,0.25448816703918226,0.8862536870409399,0.9125119794696849,31.18574595451355
8,3.1043993114471435,2.871381908465343,0.256875,0.2971,0.24717925699968804,0.282708948350368,0.9002053887762546,0.9199781100862754,30.904926300048828
9,2.976694300842285,2.79520531520722,0.28505,0.3112,0.2756893004146205,0.29702272603017277,0.9100859377655471,0.924238376335166,31.173932552337646
10,2.876720545578003,2.8943353033369514,0.297425,0.3181,0.28938733191064747,0.3012206042911917,0.9171570207805027,0.9229591912940026,31.303385019302368
11,2.7927016031265257,2.847026969217191,0.31535,0.326,0.307583940145999,0.3183840509509373,0.922850569385854,0.9273811871667277,30.826551914215088
12,2.679478094100952,2.6483004996731023,0.3372,0.3617,0.3295491020284166,0.3550232826396093,0.9304242203888581,0.937267448701068,30.493367433547974
13,2.6346190872192383,4.331390355802645,0.3486,0.3542,0.3416406937607626,0.3464150849930496,0.9325248344849816,0.9213473429767184,31.742881536483765
14,2.5193213191986086,2.4441902713411174,0.367175,0.3711,0.36118248880805265,0.3623756817853119,0.9397899174323592,0.9446425452107288,31.118768453598022
15,2.469045298576355,2.495720859545811,0.3764,0.3682,0.37039367558850644,0.3578316200025135,0.9426195984709521,0.9415998033534904,31.18311595916748
16,2.4001621726989746,2.659299939301363,0.392975,0.385,0.3871648226718817,0.37308188146520876,0.9464127916746352,0.9399639476702033,30.989152431488037
17,2.317743500518799,2.5790321303021377,0.413725,0.3944,0.408475258581817,0.39210425490790674,0.949996145987127,0.9434576275990139,31.084946632385254
18,2.237646848678589,3.22624868116561,0.425375,0.4038,0.42038140594140505,0.3960644669290968,0.9543881953399683,0.9425245152493591,30.717366218566895
19,2.3117599199295045,2.808921479875115,0.4239,0.3747,0.41864990626734677,0.36521612396112546,0.9506893262518203,0.9379605570547896,30.710822582244873
20,2.2980847578048706,2.5459177030879223,0.4232,0.42,0.4178956075704934,0.40987298492592383,0.951368321531899,0.9459721668719672,31.368112087249756
21,2.109556685447693,2.6904751753351492,0.4578,0.4145,0.45315200596701105,0.40592471861267687,0.9597441710114404,0.945644131713279,30.819716215133667
22,2.366667778015137,2.511757881018766,0.4254,0.4015,0.4216116930708107,0.3935920946576913,0.9481554648380919,0.9442740884816228,31.021573543548584
23,2.0879997694015504,2.46029007282986,0.45875,0.4105,0.4546978425516152,0.4035236796061909,0.9604186383601503,0.9450774333080372,31.067448139190674
24,1.9901737115859985,2.763933610764279,0.478475,0.3817,0.4742413738532481,0.37843309492160715,0.9644022272753924,0.9307362864409747,31.048835039138794
25,1.9687227317810059,3.1355058972243293,0.49095,0.4302,0.4875009105679298,0.4276843480819359,0.9649704190773865,0.943869257433061,30.983672380447388
26,1.8748820827484132,2.633826298318851,0.506975,0.4237,0.503837117245572,0.4194347361227474,0.9686125900985477,0.9469704724853842,31.044662952423096
27,1.8147217931747437,2.767558538989656,0.519175,0.4438,0.516434546098804,0.44165584197687446,0.9711646342316618,0.9477053919850187,30.741368293762207
28,1.728254322242737,3.4354135754761423,0.535175,0.4457,0.5325722617558787,0.44101299963286195,0.9744239075528961,0.9476159192688428,31.088797330856323
29,1.8353324590682984,2.3026216060492644,0.522375,0.4415,0.5195888163831132,0.43992561300280847,0.9701126268539558,0.9537559750943976,30.792353868484497
30,1.663407880973816,5.538331206437129,0.546575,0.4383,0.5440691878445247,0.4358677486538695,0.9764101438999867,0.9462751490815261,30.606502771377563
31,1.6193166692733765,3.6332740738133715,0.562525,0.4478,0.5601265571370744,0.44319290587813376,0.9773138743166045,0.9474011818925411,30.905979871749878
32,1.8334141115188598,3.757090210914612,0.525525,0.4218,0.5231299044801805,0.4166739991071172,0.9698484077027696,0.9364779430686458,30.62411332130432
33,1.5738484231948853,2.634978741597218,0.572925,0.4404,0.5706148689918803,0.43888464626885,0.9788267852040601,0.9486869994454717,30.014715671539307
34,1.746247236061096,2.8211245794964444,0.549725,0.43,0.5477580209830956,0.42613210341910196,0.9723907515330236,0.9431179414007316,30.70628809928894
35,1.6565899690628052,2.4507186951910613,0.569725,0.4513,0.5677827366989642,0.44812430964297884,0.9746790798427137,0.9509605046060969,30.674407720565796
36,1.5477716269493103,3.734977120047162,0.583075,0.3893,0.581085247055754,0.38796068179586746,0.9794305282600851,0.9229662174030757,30.84698796272278
37,1.6890551323890686,2.7631615476243816,0.5689,0.4307,0.5672679693828651,0.42786756841504464,0.9733550502935442,0.9462814505652982,30.809163808822632
38,1.3946842370986938,2.3553503903613726,0.613775,0.4595,0.612316923026685,0.45461709261838185,0.9836442352229152,0.9529153521034642,31.03438448905945
39,1.499536804485321,2.462868022311265,0.602075,0.4559,0.6003714385748754,0.4517864834433288,0.9796422847631167,0.9523276278592522,30.484195470809937
40,1.3914984004020692,2.5458409892525644,0.624775,0.4551,0.6235405228811401,0.4528174377799808,0.9827301613795821,0.9521071778212378,30.23408555984497
41,1.3368633717536926,3.2576318318676796,0.63515,0.4624,0.6339254442260747,0.4577529698383874,0.9842382156900823,0.9473340258937395,30.329832077026367
42,1.3498730401992798,2.3889002648128828,0.629125,0.4577,0.6278960151686197,0.45633126136073854,0.9845168914284415,0.9535043398347649,30.137516021728516
43,1.2299160139083862,3.0961586145838353,0.652475,0.4613,0.6513509852641176,0.45937758146144825,0.9874733851010399,0.9481598440495327,30.40291404724121
44,1.1844404772758483,3.62677842720299,0.664375,0.4362,0.663390634395162,0.43356512408451564,0.9884050226657918,0.9383918999466018,30.410658836364746
