Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Train F1,Val F1,Train AUC,Val AUC,Epoch Time
1,0.14844687363115824,0.12560410393796262,0.9587396313693017,0.9629375820912569,0.9561990723201036,0.9636704397934228,0.9670503716515135,0.9851745271949077,59.81951665878296
2,0.09274341758727585,0.0959509971830314,0.9737589766286424,0.9720175889440923,0.9726093640140391,0.9716915353616239,0.9851434605426604,0.9849595242531552,59.84161925315857
3,0.0755661565665853,0.06812493057316509,0.977799351826735,0.9788133173433842,0.9769902974359432,0.9783383376638315,0.989816324967941,0.9936199494582478,59.74142789840698
4,0.06456841083315784,0.06467997701158815,0.9811972645374984,0.9815544514876363,0.9806050555790172,0.981191534623681,0.9927840380428341,0.993090483286036,59.749072790145874
5,0.05672073422263474,0.05885477350977161,0.9829533286695316,0.9830963394437782,0.982475229209706,0.9826706586658384,0.9948607021813739,0.9946081481294632,59.72030210494995
6,0.05016207541153048,0.07431316450680096,0.9846951158574019,0.9784135686140141,0.9843020592804914,0.9783849083232341,0.9960721320049968,0.9928152271526052,59.87735438346863
7,0.047173104253087246,0.057857900035795315,0.985466070842197,0.9845240134772428,0.9851412209799878,0.9842049896492627,0.9965833941258865,0.9938873055867962,60.08606839179993
8,0.039760245317667635,0.06981708266921885,0.9873220735833702,0.9780709268459825,0.9870853404929116,0.9786322450943851,0.9976755463675652,0.9944995761549233,59.68146586418152
9,0.0372225901493101,0.04962273940858669,0.9884499521722371,0.9857803666266918,0.9882430322865533,0.9854351970479808,0.9979139014633056,0.9965093392703924,59.775277614593506
10,0.032974859662981255,0.052106918255546995,0.9893351227103351,0.9842955856318886,0.9891470713328854,0.9842798509341691,0.9985135544095659,0.9957443656858824,59.82942056655884
11,0.029387046476575168,0.04831942310949777,0.9907342632382965,0.9862943292787391,0.9905911849473419,0.9859045863871204,0.9987390853844357,0.9971567520660537,59.76956820487976
12,0.027148305743504273,0.050154056427677424,0.9909626943449024,0.985609045742676,0.9908242542023755,0.9856086561675707,0.9989287107875617,0.9964377791866976,59.79081845283508
13,0.025355261400555683,0.04607469203540321,0.9916337107205574,0.9877791102735424,0.9915458286869916,0.9876134206944941,0.9990813555394631,0.9958098227438652,59.82568860054016
14,0.021309284826386592,0.04805848573229996,0.9929471895835416,0.9878933241962196,0.9928918128832711,0.9876422817784443,0.9994070759845158,0.9967707436204734,59.693623065948486
15,0.019924084880119763,0.04874761659379226,0.993561098182545,0.9866940780081092,0.9935046684593734,0.9865091543132637,0.999432123823252,0.9973691199939042,59.73103618621826
16,0.01860276854233035,0.04665243814587398,0.9937181445683366,0.9879504311575581,0.9936741728004136,0.987717190500224,0.9995929547137596,0.996613295472293,59.73077702522278
17,0.01604249415875064,0.05174141487916702,0.9941607298373856,0.9877791102735424,0.9941256650301428,0.9877283909906592,0.9997403745812484,0.9963270940224576,59.73289346694946
18,0.016470348564093268,0.04933235612850323,0.9946461459389232,0.9876648963508652,0.9946113841284873,0.9875339036401215,0.9996965263217434,0.9963571157339596,59.75571298599243
19,0.013246068285030502,0.04536919186728111,0.9955884242536728,0.9889783564616527,0.9955680307400102,0.9889127224133223,0.9997613445968865,0.9966832683140824,59.70923447608948
20,0.012294112681022491,0.052831647501464754,0.9958168553602786,0.987550682428188,0.9957997420663275,0.9875468257636721,0.9997380163154098,0.9964170316770484,59.72045969963074
21,0.014018862385306901,0.05753977544698195,0.995459931756207,0.9888070355776369,0.9954379028459208,0.9886519525694901,0.99976527691671,0.9968893203978325,59.68636131286621
22,0.012741868829890507,0.05600561699513465,0.9955741473095099,0.9862943292787391,0.9955590635900156,0.986294805622151,0.9998036430637285,0.996701927263938,59.667396068573
23,0.011692726579921531,0.060066489244796475,0.9960738403552104,0.9877220033122037,0.9960639217593389,0.9875603968379761,0.9998198987415272,0.9956358386251878,59.783931493759155
24,0.00938781067905347,0.06216691485012373,0.9966449181217252,0.987550682428188,0.9966281573346768,0.9872311150371622,0.9998578466580034,0.9955444911703542,59.76992630958557
25,0.010994314664037106,0.05457827633856048,0.9961595020201875,0.9882930729255897,0.9961410730194893,0.9881828333362064,0.9998538585288127,0.9968771560846503,59.826313972473145
26,0.00971108528333451,0.052202623682438096,0.9967448567308653,0.9887499286162983,0.9967358661958191,0.9887007711820521,0.9998515809312496,0.9967569194381193,59.721298933029175
27,0.008914676755000683,0.05265248679442777,0.9968305183958426,0.9891496773456684,0.996816817173433,0.989055604508031,0.9999015845030762,0.9960058867423497,60.031691551208496
28,0.00882837699493983,0.06427281613478243,0.9968590722841683,0.9872651476214951,0.9968505463742076,0.9871914729484922,0.9998743104263085,0.9956965488921593,59.88667917251587
29,0.009322311355648724,0.05347145158602339,0.9969161800608198,0.988521500770944,0.996909308234304,0.9883607357239416,0.9998274907157066,0.9964132305313967,59.809407472610474
30,0.007607475042521434,0.05837500724249161,0.9974158731065202,0.9873222545828336,0.997412917311781,0.9874042626561423,0.9998748083249284,0.9954182213815901,59.63467502593994
31,0.007588041481714555,0.056151410379306384,0.9972588267207287,0.9883501798869282,0.9972510870789428,0.9881995644579457,0.9998843371086805,0.99610720682183,59.82856369018555
32,0.006406467955045657,0.05747273691378663,0.9977156889339406,0.989206784307007,0.9977122248795635,0.989156741650417,0.9999270948919445,0.9966278040246854,59.88621473312378
