Epoch,Train Loss,Val Loss,Train Acc,Val Acc,Train F1,Val F1,Train AUC,Val AUC,Epoch Time
1,4.076739054100186,4.2251806216882475,0.08112745098039216,0.09055555555555556,0.07031036471916781,0.06244532660165851,0.7558675136900306,0.809496439361074,101.99248337745667
2,3.375239938661164,3.1825547581868814,0.18622549019607842,0.21088888888888888,0.17075771973971718,0.18439686902583077,0.8675795044571416,0.8982210115454851,100.85188436508179
3,2.9423824833888634,3.386137605558896,0.2710049019607843,0.21922222222222223,0.257113800196923,0.19212680037890306,0.9084337966118512,0.8897673368113993,101.58685445785522
4,2.589331447657417,2.6413988783849893,0.34230392156862743,0.32755555555555554,0.32978653868728963,0.31538992606058214,0.9333248050405224,0.935973605353731,102.05549931526184
5,2.2785344931658575,2.828853206431612,0.4058088235294118,0.31177777777777776,0.3961178404991962,0.30233162986359086,0.9511047333015503,0.9302249837285222,102.42859768867493
6,1.967775366633546,2.558851998325781,0.4753186274509804,0.3671111111111111,0.46766302785007113,0.3630515846017305,0.9651743677181411,0.9419254833289546,102.17303109169006
7,1.6402408636785022,2.3620936088528195,0.5541421568627451,0.4151111111111111,0.5489590434801871,0.410356026810855,0.9770467565546717,0.9514580835351978,101.7599458694458
8,1.2820237810003992,2.3822065727085087,0.6362254901960784,0.43177777777777776,0.6331538083748062,0.4228788770994605,0.9869459124705482,0.953739136624623,101.82998394966125
9,0.8895358133549783,2.7051354139409165,0.7377696078431373,0.4022222222222222,0.7363191035863942,0.40239928651849755,0.9941828332869713,0.9459371829838996,102.14444851875305
10,0.5602891622571384,2.82836884704042,0.8295833333333333,0.42677777777777776,0.8292292858884365,0.42617659628237603,0.9978917477838762,0.9476569536990713,102.67730283737183
11,0.34292053954858404,3.306136409864358,0.8956372549019608,0.4047777777777778,0.8955119923343156,0.4092640101261723,0.9992297522595832,0.9419944033350264,102.31954979896545
12,0.2604361234692966,3.4305043064110667,0.917843137254902,0.4181111111111111,0.9178339313415408,0.41848329696454095,0.9995890004427551,0.9425158351771803,102.0692765712738
13,0.21049275456032918,3.4984819487477026,0.933578431372549,0.4172222222222222,0.9335588275821782,0.4159527927312999,0.999731136193098,0.9426098775412032,102.37221074104309
14,0.1827800318072824,3.7381342936914863,0.9419117647058823,0.4068888888888889,0.9419030748249768,0.4053251431994143,0.999786684901862,0.9394728432425219,102.252112865448
15,0.16750911387158376,3.7835061727686132,0.9457598039215687,0.4053333333333333,0.9457524593459613,0.4017823681385076,0.9998210159270792,0.9371584805440881,102.50854825973511
16,0.13723110129874128,3.7834126526582326,0.9560049019607844,0.41688888888888886,0.9560115571591675,0.4171188819350521,0.9998781747649648,0.9390187947760866,102.73111963272095
17,0.13444265977169076,3.993617091618531,0.9581862745098039,0.4056666666666667,0.9581901743093664,0.4051330554235315,0.9998786574123993,0.9375188388527679,102.5843071937561
18,0.12173278306190874,3.8642506248562047,0.9611029411764705,0.4146666666666667,0.9610973666620479,0.4135537501431569,0.999902799497769,0.937847753675435,102.2971739768982
19,0.1055448529958798,4.140938309912986,0.966421568627451,0.39255555555555555,0.9664224834907593,0.3875509252530116,0.9999143407449396,0.932219317003484,102.21223330497742
20,0.10426113714372702,4.029262262033233,0.9671813725490196,0.41788888888888887,0.9671783077892488,0.4142902229328816,0.9999261730070806,0.9387552766102057,102.50071406364441
21,0.09670575138592326,4.02546075049867,0.9697058823529412,0.4167777777777778,0.9697030586536795,0.4190520219780788,0.9999382780749638,0.9384806822872214,102.5900354385376
22,0.08527052847120692,4.0345483599825105,0.97375,0.4206666666666667,0.9737539360947982,0.41922327316992225,0.9999460648949232,0.9412719468564618,102.40982365608215
